Gantry_X,Gantry_Y,Gantry_Z,Pos_X,Pos_Y,Pos_Z
8.446190213,0,0,7.612807023,-0.523814005,2.97
6.005423896,0,0,5.172040707,-0.523814005,2.97
3.5016741,0,0,2.66829091,-0.523814005,2.97
5.657023308,0,0,4.823640118,-0.523814005,2.97
3.523152879,0,0,2.689769689,-0.523814005,2.97
1.162535517,0,0,0.329152328,-0.523814005,2.97
2.34216925,0,0,1.508786061,-0.523814005,2.97
2.005427633,0,0,1.172044444,-0.523814005,2.97
2.669861567,0,0,1.836478377,-0.523814005,2.97
0.693641906,0,0,-0.139741283,-0.523814005,2.97
5.700222131,0,0,4.866838941,-0.523814005,2.97
8.175477713,0,0,7.342094523,-0.523814005,2.97
4.414350443,0,0,3.580967254,-0.523814005,2.97
6.58987961,0,0,5.756496421,-0.523814005,2.97
5.947395845,0,0,5.114012656,-0.523814005,2.97
2.257104106,0,0,1.423720917,-0.523814005,2.97
5.689227677,0,0,4.855844487,-0.523814005,2.97
0.186469647,0,0,-0.646913542,-0.523814005,2.97
5.255877415,0,0,4.422494226,-0.523814005,2.97
0.608097251,0,0,-0.225285938,-0.523814005,2.97
8.328026984,0,0,7.494643795,-0.523814005,2.97
1.385040409,0,0,0.55165722,-0.523814005,2.97
2.573204643,0,0,1.739821453,-0.523814005,2.97
4.458680886,0,0,3.625297697,-0.523814005,2.97
2.801554014,0,0,1.968170825,-0.523814005,2.97
7.147389091,0,0,6.314005902,-0.523814005,2.97
1.550266178,0,0,0.716882989,-0.523814005,2.97
7.085951807,0,0,6.252568618,-0.523814005,2.97
0.137077542,0,0,-0.696305647,-0.523814005,2.97
6.391054419,0,0,5.55767123,-0.523814005,2.97
6.365984052,0,0,5.532600862,-0.523814005,2.97
6.738465627,0,0,5.905082437,-0.523814005,2.97
1.477908171,0,0,0.644524982,-0.523814005,2.97
2.413327222,0,0,1.579944032,-0.523814005,2.97
3.462779266,0,0,2.629396076,-0.523814005,2.97
5.060625616,0,0,4.227242427,-0.523814005,2.97
5.547659797,0,0,4.714276608,-0.523814005,2.97
4.644540789,0,0,3.8111576,-0.523814005,2.97
0.72610944,0,0,-0.107273749,-0.523814005,2.97
1.173329311,0,0,0.339946122,-0.523814005,2.97
8.043020788,0,0,7.209637599,-0.523814005,2.97
5.334048809,0,0,4.50066562,-0.523814005,2.97
4.407250916,0,0,3.573867727,-0.523814005,2.97
2.709532703,0,0,1.876149514,-0.523814005,2.97
3.812753848,0,0,2.979370659,-0.523814005,2.97
5.397880955,0,0,4.564497766,-0.523814005,2.97
0.925943048,0,0,0.092559859,-0.523814005,2.97
2.85597452,0,0,2.022591331,-0.523814005,2.97
2.599414681,0,0,1.766031492,-0.523814005,2.97
7.063120834,0,0,6.229737645,-0.523814005,2.97
7.855913122,0,0,7.022529933,-0.523814005,2.97
5.865960197,0,0,5.032577008,-0.523814005,2.97
2.977455083,0,0,2.144071894,-0.523814005,2.97
6.265911087,0,0,5.432527897,-0.523814005,2.97
1.356390701,0,0,0.523007512,-0.523814005,2.97
8.359787239,0,0,7.526404049,-0.523814005,2.97
6.43477951,0,0,5.601396321,-0.523814005,2.97
0.99088066,0,0,0.157497471,-0.523814005,2.97
1.946119361,0,0,1.112736172,-0.523814005,2.97
5.100792198,0,0,4.267409009,-0.523814005,2.97
2.590983959,0,0,1.75760077,-0.523814005,2.97
8.209869959,0,0,7.376486769,-0.523814005,2.97
8.456247675,0,0,7.622864486,-0.523814005,2.97
4.339985128,0,0,3.506601939,-0.523814005,2.97
0.702605955,0,0,-0.130777234,-0.523814005,2.97
0.577781071,0,0,-0.255602119,-0.523814005,2.97
4.699465319,0,0,3.86608213,-0.523814005,2.97
4.592616682,0,0,3.759233493,-0.523814005,2.97
0.743737246,0,0,-0.089645944,-0.523814005,2.97
3.344186348,0,0,2.510803159,-0.523814005,2.97
2.055299585,0,0,1.221916396,-0.523814005,2.97
2.572078704,0,0,1.738695515,-0.523814005,2.97
0.986517915,0,0,0.153134726,-0.523814005,2.97
7.001876234,0,0,6.168493045,-0.523814005,2.97
2.915307055,0,0,2.081923865,-0.523814005,2.97
3.717760421,0,0,2.884377231,-0.523814005,2.97
3.152874516,0,0,2.319491327,-0.523814005,2.97
2.256325251,0,0,1.422942062,-0.523814005,2.97
1.434002396,0,0,0.600619206,-0.523814005,2.97
5.599516018,0,0,4.766132828,-0.523814005,2.97
5.202871296,0,0,4.369488106,-0.523814005,2.97
0.392005592,0,0,-0.441377598,-0.523814005,2.97
7.377517404,0,0,6.544134215,-0.523814005,2.97
3.755164533,0,0,2.921781344,-0.523814005,2.97
3.174857842,0,0,2.341474653,-0.523814005,2.97
3.469636134,0,0,2.636252944,-0.523814005,2.97
1.17655852,0,0,0.343175331,-0.523814005,2.97
7.821003286,0,0,6.987620096,-0.523814005,2.97
0.419026514,0,0,-0.414356675,-0.523814005,2.97
6.336523864,0,0,5.503140675,-0.523814005,2.97
3.166267301,0,0,2.332884112,-0.523814005,2.97
8.346071641,0,0,7.512688452,-0.523814005,2.97
1.417386436,0,0,0.584003247,-0.523814005,2.97
3.843268869,0,0,3.00988568,-0.523814005,2.97
2.530699603,0,0,1.697316414,-0.523814005,2.97
7.813210883,0,0,6.979827694,-0.523814005,2.97
1.004605651,0,0,0.171222462,-0.523814005,2.97
8.086088291,0,0,7.252705102,-0.523814005,2.97
0.911243222,0,0,0.077860032,-0.523814005,2.97
0.850190216,0,0,0.016807026,-0.523814005,2.97
1.277843317,0,0,0.444460127,-0.523814005,2.97
1.48563837,0,0,0.652255181,-0.523814005,2.97
5.258253498,0,0,4.424870309,-0.523814005,2.97
1.504463837,0,0,0.671080648,-0.523814005,2.97
6.393604884,0,0,5.560221695,-0.523814005,2.97
5.710243771,0,0,4.876860582,-0.523814005,2.97
1.844967123,0,0,1.011583933,-0.523814005,2.97
7.147352004,0,0,6.313968815,-0.523814005,2.97
5.504731305,0,0,4.671348116,-0.523814005,2.97
4.606142737,0,0,3.772759548,-0.523814005,2.97
7.78518827,0,0,6.95180508,-0.523814005,2.97
3.37730274,0,0,2.543919551,-0.523814005,2.97
4.775923827,0,0,3.942540638,-0.523814005,2.97
4.679744222,0,0,3.846361032,-0.523814005,2.97
3.989466501,0,0,3.156083312,-0.523814005,2.97
6.530936227,0,0,5.697553038,-0.523814005,2.97
1.739674219,0,0,0.90629103,-0.523814005,2.97
5.474667139,0,0,4.64128395,-0.523814005,2.97
2.643111784,0,0,1.809728594,-0.523814005,2.97
4.607806572,0,0,3.774423383,-0.523814005,2.97
7.446383275,0,0,6.613000085,-0.523814005,2.97
3.715914419,0,0,2.88253123,-0.523814005,2.97
7.252483871,0,0,6.419100682,-0.523814005,2.97
1.49568462,0,0,0.662301431,-0.523814005,2.97
4.628841878,0,0,3.795458688,-0.523814005,2.97
0.357224838,0,0,-0.476158351,-0.523814005,2.97
5.086320232,0,0,4.252937042,-0.523814005,2.97
2.956588814,0,0,2.123205624,-0.523814005,2.97
4.872210502,0,0,4.038827313,-0.523814005,2.97
6.903463255,0,0,6.070080066,-0.523814005,2.97
0.161187465,0,0,-0.672195725,-0.523814005,2.97
7.146296872,0,0,6.312913683,-0.523814005,2.97
0.855104377,0,0,0.021721188,-0.523814005,2.97
1.019785638,0,0,0.186402449,-0.523814005,2.97
2.540200468,0,0,1.706817278,-0.523814005,2.97
2.892224199,0,0,2.05884101,-0.523814005,2.97
5.477171173,0,0,4.643787984,-0.523814005,2.97
1.830062231,0,0,0.996679042,-0.523814005,2.97
6.283338751,0,0,5.449955561,-0.523814005,2.97
5.503841417,0,0,4.670458227,-0.523814005,2.97
7.499341918,0,0,6.665958729,-0.523814005,2.97
8.041195787,0,0,7.207812597,-0.523814005,2.97
2.869353836,0,0,2.035970647,-0.523814005,2.97
6.10473994,0,0,5.27135675,-0.523814005,2.97
2.140035143,0,0,1.306651954,-0.523814005,2.97
3.119166645,0,0,2.285783456,-0.523814005,2.97
2.730557089,0,0,1.8971739,-0.523814005,2.97
4.316888243,0,0,3.483505054,-0.523814005,2.97
3.69431393,0,0,2.860930741,-0.523814005,2.97
2.973456096,0,0,2.140072907,-0.523814005,2.97
2.460455467,0,0,1.627072278,-0.523814005,2.97
5.683241811,0,0,4.849858622,-0.523814005,2.97
8.002452175,0,0,7.169068986,-0.523814005,2.97
1.740119745,0,0,0.906736556,-0.523814005,2.97
4.162171674,0,0,3.328788485,-0.523814005,2.97
4.937122472,0,0,4.103739283,-0.523814005,2.97
7.954499089,0,0,7.121115899,-0.523814005,2.97
1.842759816,0,0,1.009376626,-0.523814005,2.97
3.731707694,0,0,2.898324505,-0.523814005,2.97
0.427768138,0,0,-0.405615051,-0.523814005,2.97
1.133286887,0,0,0.299903698,-0.523814005,2.97
7.807162438,0,0,6.973779249,-0.523814005,2.97
3.248521517,0,0,2.415138328,-0.523814005,2.97
7.133719664,0,0,6.300336475,-0.523814005,2.97
2.146036359,0,0,1.31265317,-0.523814005,2.97
7.595320684,0,0,6.761937495,-0.523814005,2.97
5.256507603,0,0,4.423124413,-0.523814005,2.97
6.458971075,0,0,5.625587886,-0.523814005,2.97
2.476392878,0,0,1.643009689,-0.523814005,2.97
0.227196599,0,0,-0.60618659,-0.523814005,2.97
4.352377098,0,0,3.518993908,-0.523814005,2.97
5.3952444,0,0,4.561861211,-0.523814005,2.97
3.363629143,0,0,2.530245954,-0.523814005,2.97
1.018888112,0,0,0.185504923,-0.523814005,2.97
2.986389437,0,0,2.153006248,-0.523814005,2.97
2.176088923,0,0,1.342705733,-0.523814005,2.97
0.846713449,0,0,0.01333026,-0.523814005,2.97
2.384914217,0,0,1.551531028,-0.523814005,2.97
2.985720758,0,0,2.152337569,-0.523814005,2.97
0.13272679,0,0,-0.700656399,-0.523814005,2.97
8.333460326,0,0,7.500077136,-0.523814005,2.97
2.051836594,0,0,1.218453405,-0.523814005,2.97
3.946319661,0,0,3.112936472,-0.523814005,2.97
6.938046379,0,0,6.10466319,-0.523814005,2.97
2.621582853,0,0,1.788199664,-0.523814005,2.97
6.311851077,0,0,5.478467888,-0.523814005,2.97
3.03722402,0,0,2.203840831,-0.523814005,2.97
5.269432605,0,0,4.436049416,-0.523814005,2.97
6.832925287,0,0,5.999542098,-0.523814005,2.97
0.575882541,0,0,-0.257500648,-0.523814005,2.97
8.365320991,0,0,7.531937801,-0.523814005,2.97
5.915867625,0,0,5.082484436,-0.523814005,2.97
8.156782405,0,0,7.323399216,-0.523814005,2.97
4.299523537,0,0,3.466140348,-0.523814005,2.97
0.779671698,0,0,-0.053711491,-0.523814005,2.97
7.64412889,0,0,6.8107457,-0.523814005,2.97
1.902274871,0,0,1.068891681,-0.523814005,2.97
0.2516377,0,0,-0.58174549,-0.523814005,2.97
2.108971377,0,0,1.275588188,-0.523814005,2.97
1.318093534,0,0,0.484710345,-0.523814005,2.97
5.243602768,0,0,4.410219579,-0.523814005,2.97
4.213810066,0,0,3.380426877,-0.523814005,2.97
2.646776604,0,0,1.813393414,-0.523814005,2.97
7.475929474,0,0,6.642546285,-0.523814005,2.97
1.409769215,0,0,0.576386026,-0.523814005,2.97
2.35907401,0,0,1.525690821,-0.523814005,2.97
6.633788562,0,0,5.800405373,-0.523814005,2.97
3.809967707,0,0,2.976584517,-0.523814005,2.97
8.1084067,0,0,7.27502351,-0.523814005,2.97
6.387231547,0,0,5.553848358,-0.523814005,2.97
0.806361379,0,0,-0.02702181,-0.523814005,2.97
8.301540286,0,0,7.468157096,-0.523814005,2.97
5.471403868,0,0,4.638020678,-0.523814005,2.97
6.196686271,0,0,5.363303082,-0.523814005,2.97
6.904755156,0,0,6.071371966,-0.523814005,2.97
4.460340125,0,0,3.626956936,-0.523814005,2.97
1.560111397,0,0,0.726728208,-0.523814005,2.97
4.530387296,0,0,3.697004106,-0.523814005,2.97
7.974333107,0,0,7.140949918,-0.523814005,2.97
